model,mode,loss,n_params,n_seeds,seeds,best_epoch_mean,weighted_r2_mean,weighted_mae_mean,polar_mae_mean,cosine_similarity_mean,emd_raw_mean,emd_normalized_mean,molecular_mae_mean,molecular_emd_mean,molecular_cosine_mean,molecular_polar_mae_mean,weighted_r2_std,weighted_mae_std,polar_mae_std,cosine_similarity_std,emd_raw_std,emd_normalized_std,molecular_mae_std,molecular_emd_std,molecular_cosine_std,molecular_polar_mae_std
dimenet,3d_pure,mse,700440,3,"[0, 1, 2]",57.333333333333336,0.9135129054387411,0.10916522890329361,0.016901258379220963,0.9389545215698633,0.0006908978535560025,0.0006908978535560051,0.4681242466475974,0.0002327547097797509,0.994579544150167,0.2214144538510412,9.995301833087936e-05,4.734767000880606e-05,4.0792405937064296e-05,0.00019573841986605137,2.103443572058377e-06,2.1034435720582476e-06,0.0006250216061451665,8.556659586914394e-07,1.3098130015197095e-05,0.0003869310549635434
dimenet_pp,3d_pure,mse,716984,3,"[0, 1, 2]",56.333333333333336,0.9138973553975424,0.10900173087914784,0.016794900099436443,0.9390453741430212,0.00068714793851674,0.0006871479385167424,0.4675187081209997,0.00023262699995956672,0.9946647704946688,0.220270277295783,0.0004284381267570799,0.00017549488876619313,6.026808203252559e-05,0.00032800938382240147,5.01288825217982e-06,5.012888252179857e-06,0.0013918136373141019,2.0373906666155837e-06,4.175990225497082e-05,0.0007972954560259699
egnn,3d_pure,mse,717149,3,"[0, 1, 2]",58.666666666666664,0.9049149950345358,0.114057257771492,0.017393069341778755,0.9352411407516356,0.0007489836340423646,0.0007489836340423672,0.49483541864615227,0.000250970674914417,0.9939149009226225,0.23013532793055821,0.0002539281566598632,0.00016012243922834714,2.5736152501506336e-05,0.0002532474150080309,7.539783933862916e-06,7.539783933862782e-06,0.00036675353553409135,1.0938975409019516e-06,9.03206661667017e-06,3.77150116114263e-05
mace,3d_pure,mse,685111,3,"[0, 1, 2]",173.66666666666666,0.897717277208964,0.11856163789828618,0.017544185121854145,0.9313720913302449,0.0007873698821813978,0.0007873698821814004,0.5270916125165601,0.0002845681661528417,0.9931260495830295,0.23949904478103334,0.001532567466981608,0.0011432749850439044,8.311113995709733e-05,0.00086093807428281,1.731452661812147e-05,1.731452661812147e-05,0.0024026272251494894,1.6614588219878578e-06,0.00010381489438314492,0.0020485266871612504
painn,3d_pure,mse,728421,3,"[0, 1, 2]",57.666666666666664,0.9117812712987264,0.10966337720553081,0.016670444359381992,0.9385008984195514,0.0007066820019149756,0.0007066820019149783,0.47342027880028525,0.0002465571713461302,0.9944472394068526,0.22093508149016625,4.766606295510987e-05,0.00013149968992446772,4.1974718021382336e-05,5.6474244925095364e-05,3.7744913900559134e-06,3.7744913900559642e-06,0.000489483468413432,1.3914850937193514e-06,1.1624542590163977e-05,0.000649909263787212
schnet,3d_pure,mse,716547,3,"[0, 1, 2]",84.66666666666667,0.9073857267697653,0.11300596594810486,0.016854450727502506,0.9358215638202064,0.0007276982694203231,0.0007276982694203256,0.4856376002353226,0.000249781422540213,0.994134373713253,0.2236669736490565,0.002524089106924927,0.001802505910986596,0.00027670608685178183,0.0014668860979052357,2.394386993385474e-05,2.3943869933854714e-05,0.008931336710436728,8.283650858242764e-06,0.00020670464794763258,0.0041068267439566125
spherenet,3d_pure,mse,717848,3,"[0, 1, 2]",108.66666666666667,0.9155811270078024,0.10781031598647435,0.01656800943116347,0.9399136463530108,0.0006726667054643308,0.0006726667054643334,0.46058122933324835,0.00022455718454243964,0.9948081855246654,0.2163384382238932,0.001969919168790722,0.0016469776640164037,0.0002532186998786924,0.001180393416987969,2.1954224834001985e-05,2.1954224834002063e-05,0.007368740804640483,6.693103029299797e-06,0.00014155746711271269,0.0034719687850993802
torchmdnet,3d_pure,mse,714505,3,"[0, 1, 2]",55.0,0.9100961685180664,0.11080097158749898,0.016834621628125507,0.9380811239463801,0.000716833690472461,0.0007168336904724635,0.47964864071076496,0.0002500849477776938,0.9943047885093678,0.22380904815096056,0.00035427440844388995,0.00019848296753713414,4.674962225835458e-05,0.00016890188866894266,2.3602154183523146e-06,2.360215418352378e-06,0.0009915698060432472,1.7096645741299623e-06,3.3865719142354805e-05,0.00033754432561842015
unimol,3d_pure,mse,707464,3,"[0, 1, 2]",109.0,0.8952967921892802,0.11821294327576955,0.017728667706251144,0.9308482105236248,0.0008000383621025283,0.0008000383621025309,0.5169107083282155,0.00027193787382636775,0.9930501788790919,0.23677588568531718,0.0037344582325448835,0.0021508752985303194,0.00034041900220519036,0.0018724953018257426,2.5095808882108612e-05,2.5095808882108866e-05,0.01125393851702843,8.355611345421598e-06,0.00027239060457415903,0.005126236243961428
