model,loss,n_params,n_seeds,seeds,best_epoch_mean,weighted_r2_mean,weighted_mae_mean,polar_mae_mean,cosine_similarity_mean,emd_raw_mean,emd_normalized_mean,molecular_mae_mean,molecular_emd_mean,molecular_cosine_mean,molecular_polar_mae_mean,weighted_r2_std,weighted_mae_std,polar_mae_std,cosine_similarity_std,emd_raw_std,emd_normalized_std,molecular_mae_std,molecular_emd_std,molecular_cosine_std,molecular_polar_mae_std
attentive_fp,mse,691830,3,"[0, 1, 2]",136.66666666666666,0.8694350123405457,0.1332634041706721,0.019271116703748703,0.91844963627936,0.0009601610039674428,0.0009601610039674451,0.5707830127876283,0.00029679196021384184,0.9918759779313691,0.2536358022668924,0.0007193713740649159,0.0003626132862049172,3.214437558808399e-05,0.00027281374037476964,3.7825907379558116e-06,3.7825907379558e-06,0.002767532784150637,1.73376825508899e-06,0.0001294603846373466,0.00039596767589345546
gat,mse,701683,3,"[0, 1, 2]",58.333333333333336,0.7869017521540324,0.16948353747526804,0.022274331500132877,0.886123345662273,0.0012982870719710075,0.0012982870719710103,0.7001695491672836,0.0003778210833101265,0.9878717536154465,0.29359879325271354,0.000784309629763971,0.00034979529427097713,4.482563167679954e-05,0.00017639610287798282,6.102182287394487e-06,6.102182287394487e-06,0.0021868973657170696,2.4658020134617343e-06,5.5726885932457286e-05,0.0003648876884585262
gatv2,mse,690981,3,"[0, 1, 2]",58.0,0.7917408347129822,0.1673777550458908,0.022137499724825222,0.8879395084692531,0.001287514638305282,0.0012875146383052847,0.6874423627294282,0.0003710598465660094,0.9882082790034449,0.2901451974315768,0.0007819537141807584,0.00028391276338459446,2.363186089183121e-05,0.00026228344396564385,3.4713901452495885e-06,3.4713901452494873e-06,0.0016825338785623897,1.324214464336464e-06,0.00011975735600102331,0.000826809842136865
gcn,mse,694032,3,"[0, 1, 2]",56.0,0.7647082606951395,0.17755133410294852,0.023137393097082775,0.8792225418756038,0.0013609573998188407,0.001360957399818843,0.7621941856766102,0.00042602440384105017,0.9855534958584696,0.31341652394746006,0.00013153100117335457,9.400318799636609e-05,0.00010813477807229896,0.00024243798003173404,5.694622959872179e-07,5.694622959870125e-07,0.00040093881887099325,2.6280947107789183e-06,7.152483745593549e-05,0.0014279430572409276
gine,mse,693494,3,"[0, 1, 2]",84.0,0.9000127116839091,0.11724864939848582,0.017616347099343937,0.9321436076428072,0.000789596737984582,0.0007895967379845845,0.5075376581263721,0.0002555769093548354,0.9936228626367883,0.2326443389424361,0.003821133169014355,0.002451556255141119,0.00033168210334629585,0.0019474808549271683,3.105055566576335e-05,3.1050555665763344e-05,0.010752895095265773,8.459634636456141e-06,0.00027514710899182994,0.004815355684704833
gps,mse,693831,3,"[0, 1, 2]",82.33333333333333,0.8997844060262045,0.11734159042437871,0.017741649722059567,0.932374881950588,0.0007970501984900308,0.0007970501984900334,0.5060005275554892,0.0002559211568142858,0.9936226475939282,0.23407723948762463,0.0034142031278206245,0.00223494955898143,0.0002654404970149473,0.0018319461884933194,2.7392458579465608e-05,2.7392458579465638e-05,0.010065732558869566,7.19606116266308e-06,0.000240059542240876,0.004483014772712691
schnet,mse,693202,3,"[0, 1, 2]",58.333333333333336,0.9049824476242065,0.11464828749497731,0.01730300175646941,0.9349360684556389,0.0007491364181424601,0.0007491364181424627,0.4931616004123392,0.000251852636337529,0.993959174987852,0.2294410712280784,0.00013901015478814656,6.057415968887361e-05,7.620195668194476e-05,0.00025423615279994064,5.209366483421936e-06,5.209366483421754e-06,0.0005896039240098304,1.4584288793673926e-06,1.7031183023577776e-05,0.0008390984862526453
