model,mode,loss,n_params,n_seeds,seeds,best_epoch_mean,weighted_r2_mean,weighted_mae_mean,polar_mae_mean,cosine_similarity_mean,emd_raw_mean,emd_normalized_mean,molecular_mae_mean,molecular_emd_mean,molecular_cosine_mean,molecular_polar_mae_mean,weighted_r2_std,weighted_mae_std,polar_mae_std,cosine_similarity_std,emd_raw_std,emd_normalized_std,molecular_mae_std,molecular_emd_std,molecular_cosine_std,molecular_polar_mae_std
dmpnn,2d_pure,mse,698325,3,"[0, 1, 2]",83.33333333333333,0.8540869355201721,0.14229945838451385,0.019678207114338875,0.9103512392983616,0.0010895200719137517,0.0010895200719137543,0.5838417372171186,0.0003210105230671315,0.992026255181712,0.25724641336076376,0.002184982149624974,0.0012686810746910908,0.00022988809173604154,0.0010141310081141321,1.8771298101805553e-05,1.8771298101805353e-05,0.00905358503030548,8.530659199328392e-06,0.00021008405916822666,0.004016247433779998
attentive_fp,2d_pure,mse,701436,3,"[0, 1, 2]",82.33333333333333,0.8513598839441935,0.1438297579685847,0.019735286012291908,0.9085045604703753,0.0011004702283534122,0.001100470228353415,0.5810965561541992,0.00030767208526452145,0.9918049847264575,0.25682210675146205,0.002670952835502116,0.0016134271043196293,0.00020966596261133222,0.0014732855048278917,1.9590225015796174e-05,1.9590225015796073e-05,0.009099318659677707,8.525973875209541e-06,0.00022155796474985866,0.004302316086648128
gine,2d_pure,mse,698702,3,"[0, 1, 2]",57.0,0.84036256869634,0.14783206582069397,0.020352559785048168,0.9045976214741348,0.0011462279957458667,0.001146227995745869,0.6339859942022043,0.0003818323585956823,0.9902512267180997,0.275478521854553,0.0001398897210887419,9.57209057745986e-05,4.4928816509800386e-05,9.636496066620621e-05,2.9545482956229637e-06,2.9545482956231475e-06,0.0004889038036314012,1.6121803749398935e-06,1.0679371308935984e-05,0.000726793069830302
gatv2,2d_pure,mse,701427,3,"[0, 1, 2]",83.66666666666667,0.8380918900171915,0.14859808484713236,0.020271301890412968,0.9032382651412565,0.0011505140760473254,0.0011505140760473276,0.6399142883405982,0.00038458641377259704,0.9901043531986383,0.2758419085550918,0.0024820598103011335,0.0013939028318213891,0.00017216667843710542,0.00133143786978318,1.4038436247827267e-05,1.4038436247827498e-05,0.010018583764635025,9.953505185573976e-06,0.00026407292345716145,0.0035907089992414255
gat,2d_pure,mse,709105,3,"[0, 1, 2]",57.666666666666664,0.8365901907285055,0.1491736521323522,0.020314857363700867,0.9024526553080198,0.0011536572677217074,0.00115365726772171,0.6435582482827525,0.00039067490022783556,0.9899630679610448,0.27652853043799674,0.0002537087666523823,7.97518948284245e-05,1.026288787808028e-05,3.940081316038694e-05,3.6520402595278938e-06,3.6520402595278205e-06,0.0010855663216989863,3.7094444719584937e-06,2.8594305521413728e-05,0.0008658116886249876
gcn,2d_pure,mse,701973,3,"[0, 1, 2]",57.666666666666664,0.823050340016683,0.15522761642932892,0.021003042658170063,0.8969878358155264,0.0012171239163527021,0.0012171239163527047,0.6908347961166476,0.00044074269817973325,0.9882997724210094,0.2940089662323713,0.0005854741922094904,0.00019585258929887442,2.8326894534754453e-05,0.0002524785766924025,3.057432824868403e-06,3.0574328248684635e-06,0.0015598781701280206,1.2097082472646887e-06,5.478048687782876e-05,0.0005900617002372819
