model,mode,width_param,width_value,n_params,target,diff_pct
attentive_fp,2d_pure,hidden,124,699008,695667,0.48
dmpnn,2d_pure,hidden,244,697342,695667,0.24
gat,2d_pure,hidden,256,701427,695667,0.83
gatv2,2d_pure,hidden,216,690765,695667,-0.7
gcn,2d_pure,hidden,255,693777,695667,-0.27
gine,2d_pure,hidden,216,697681,695667,0.29
gps,2d_pure,hidden,124,677835,695667,-2.56
