model,weighted_r2,weighted_mae,polar_mae,emd_raw,cosine_similarity,molecular_mae,molecular_emd,molecular_cosine,molecular_polar_mae,composite_rank_score
dimenet_pp,0.9140501717726389,0.10897878060738246,0.016820360906422138,0.00068703086002144,0.9390452643190037,0.4673429271289044,0.00023240767624191933,0.9946736977975338,0.22040154648203458,1.6666666666666667
spherenet,0.9137412508328756,0.10904701923330624,0.01680156961083412,0.0006915212578914033,0.939016604383525,0.46706640549704553,0.00023109957394803595,0.9946726512412231,0.21980211062011068,2.2708333333333335
dimenet,0.9133183062076569,0.10917975505193074,0.016894598801930744,0.0006893924895795745,0.9390490818753117,0.46853422931976557,0.0002323030426433799,0.9945547541409221,0.2213173710437478,2.8333333333333335
painn,0.9117024044195811,0.1097272162636121,0.01665645744651556,0.0007063323543920284,0.9384868055308804,0.4733190540607987,0.0002463544055818897,0.9944476172391675,0.22070106499793574,3.25
torchmdnet,0.9099911053975424,0.11102675025661786,0.016965444199740887,0.0007138230176428965,0.9377942886937288,0.4779214646810523,0.0002456225976369629,0.9943133305166012,0.22389897665149694,5.229166666666667
schnet,0.9062483012676239,0.1137424608071645,0.016946030780673027,0.0007369651522993667,0.9353036367478368,0.4891853977087089,0.0002525893970367192,0.9940391880967933,0.2252866848870768,5.770833333333333
egnn,0.9052979250748953,0.11416755492488544,0.01739656428496043,0.0007555945367029291,0.9352064694597287,0.4945922189963679,0.0002518610212524255,0.9939165734818093,0.2303576921754612,6.979166666666667
unimol,0.8947429060935974,0.11910452942053477,0.017946782521903515,0.0008108803382296338,0.9306835081766452,0.5240834928681263,0.000280464809363871,0.9930295674904035,0.24020284212317267,8.416666666666666
mace,0.895175168911616,0.12054494395852089,0.01764281125118335,0.0008163575902948389,0.9300679243883857,0.5336539417397008,0.00029619539047950454,0.9929409053026993,0.24168935655548687,8.583333333333334
