model,width_param,width_value,n_params,target,diff_pct
attentive_fp,hidden,121,701436,700000,0.21
dmpnn,hidden,303,698325,700000,-0.24
gat,hidden,328,709105,700000,1.3
gatv2,hidden,256,701427,700000,0.2
gcn,hidden,327,701973,700000,0.28
gine,hidden,254,698702,700000,-0.19
gps,hidden,128,721459,700000,3.07
