model,mode,loss,n_params,n_seeds,seeds,best_epoch_mean,weighted_r2_mean,weighted_mae_mean,polar_mae_mean,cosine_similarity_mean,emd_raw_mean,emd_normalized_mean,molecular_mae_mean,molecular_emd_mean,molecular_cosine_mean,molecular_polar_mae_mean,weighted_r2_std,weighted_mae_std,polar_mae_std,cosine_similarity_std,emd_raw_std,emd_normalized_std,molecular_mae_std,molecular_emd_std,molecular_cosine_std,molecular_polar_mae_std
dimenet,3d_pure,mse,700440,3,"[0, 1, 2]",57.333333333333336,0.9135129054387411,0.10916522890329361,0.016901258379220963,0.9389545215698633,0.0006908978535560025,0.0006908978535560051,0.4681242466475974,0.0002327547097797509,0.994579544150167,0.2214144538510412,9.995301833087936e-05,4.734767000880606e-05,4.0792405937064296e-05,0.00019573841986605137,2.103443572058377e-06,2.1034435720582476e-06,0.0006250216061451665,8.556659586914394e-07,1.3098130015197095e-05,0.0003869310549635434
dimenet_pp,3d_pure,mse,716984,3,"[0, 1, 2]",56.333333333333336,0.9138973553975424,0.10900173087914784,0.016794900099436443,0.9390453741430212,0.00068714793851674,0.0006871479385167424,0.4675187081209997,0.00023262699995956672,0.9946647704946688,0.220270277295783,0.0004284381267570799,0.00017549488876619313,6.026808203252559e-05,0.00032800938382240147,5.01288825217982e-06,5.012888252179857e-06,0.0013918136373141019,2.0373906666155837e-06,4.175990225497082e-05,0.0007972954560259699
egnn,3d_pure,mse,715933,3,"[0, 1, 2]",58.0,0.9050411780675253,0.1142792875568072,0.01739066404600938,0.93508401916408,0.0007534031879158562,0.0007534031879158588,0.4949225124366518,0.00025128520306268924,0.9939068539580728,0.23029618823007306,0.0003018049050387138,2.9763001050437084e-05,3.453501374151021e-05,8.423008393209395e-05,2.593226268159833e-06,2.5932262681597873e-06,0.00021531890283742284,1.1009088357319725e-06,2.5802359673152597e-05,0.0003330230031856006
mace,3d_pure,mse,687047,3,"[0, 1, 2]",197.0,0.8950229485829672,0.12069359670082729,0.017601262778043747,0.9300695120046959,0.0008136930444105724,0.0008136930444105749,0.5347977185045552,0.0002959138714098702,0.9929233342542862,0.24078601599873675,0.00018975702816011528,0.00011534626793731878,0.00010827881436665086,0.00027566726975034294,5.230905818609667e-06,5.230905818609699e-06,0.0005709969391241031,7.57174093078307e-07,2.0500765876648424e-05,0.0014100434133109358
painn,3d_pure,mse,728421,3,"[0, 1, 2]",57.666666666666664,0.9117812712987264,0.10966337720553081,0.016670444359381992,0.9385008984195514,0.0007066820019149756,0.0007066820019149783,0.47342027880028525,0.0002465571713461302,0.9944472394068526,0.22093508149016625,4.766606295510987e-05,0.00013149968992446772,4.1974718021382336e-05,5.6474244925095364e-05,3.7744913900559134e-06,3.7744913900559642e-06,0.000489483468413432,1.3914850937193514e-06,1.1624542590163977e-05,0.000649909263787212
schnet,3d_pure,mse,716547,3,"[0, 1, 2]",84.66666666666667,0.9073857267697653,0.11300596594810486,0.016854450727502506,0.9358215638202064,0.0007276982694203231,0.0007276982694203256,0.4856376002353226,0.000249781422540213,0.994134373713253,0.2236669736490565,0.002524089106924927,0.001802505910986596,0.00027670608685178183,0.0014668860979052357,2.394386993385474e-05,2.3943869933854714e-05,0.008931336710436728,8.283650858242764e-06,0.00020670464794763258,0.0041068267439566125
spherenet,3d_pure,mse,724814,3,"[0, 1, 2]",109.0,0.9150417645772299,0.10797264178593953,0.016646317516764004,0.9399963024137286,0.0006758966834984128,0.0006758966834984154,0.46183157653699064,0.00022595930925632484,0.9947668838730225,0.21739087400061444,0.0019173520648855548,0.0015288488367233015,0.000242766811920496,0.0012233282161998153,2.343347332204267e-05,2.3433473322042744e-05,0.0072799127550261175,7.065063270925133e-06,0.00014903122199440513,0.0034322589200636087
torchmdnet,3d_pure,mse,692071,3,"[0, 1, 2]",59.0,0.909738560517629,0.11106499532858531,0.016964883853991825,0.9377225280740428,0.0007151449577429081,0.0007151449577429107,0.4776639464796863,0.00024587193763352333,0.9942941096030239,0.22356613237241632,0.0004929335626877947,0.0001577538622292789,4.631169047926907e-05,0.0001310599861314898,2.9989392564458725e-06,2.998939256445957e-06,0.0005879120850858715,1.5761813437969737e-06,4.3829187698425016e-05,0.0007058658726848007
unimol,3d_pure,mse,708584,3,"[0, 1, 2]",57.333333333333336,0.8964203596115112,0.11823673049608867,0.01778787684937318,0.9315817782257231,0.0007999691902681403,0.0007999691902681427,0.5192949512113745,0.00027536186911473586,0.9931924190340388,0.2378658053988758,0.0013980204600801398,0.0008804521278968621,0.00012465216904481075,0.0006776008731767363,9.317419684408632e-06,9.317419684408722e-06,0.006740872504790586,4.542353698131789e-06,0.00014821478720224412,0.0023146263547552757
