model,loss,n_params,n_seeds,seeds,best_epoch_mean,weighted_r2_mean,weighted_mae_mean,polar_mae_mean,cosine_similarity_mean,emd_raw_mean,emd_normalized_mean,molecular_mae_mean,molecular_emd_mean,molecular_cosine_mean,molecular_polar_mae_mean,weighted_r2_std,weighted_mae_std,polar_mae_std,cosine_similarity_std,emd_raw_std,emd_normalized_std,molecular_mae_std,molecular_emd_std,molecular_cosine_std,molecular_polar_mae_std
gine,mse,697681,3,"[0, 1, 2]",56.666666666666664,0.8559643824895223,0.14124387502670288,0.019606500243147213,0.9109655294764715,0.001088142165558477,0.0010881421655584793,0.5694684827990002,0.0003035450959185567,0.9923658310666553,0.2532017265676927,6.719278131383106e-05,0.00010694489439886732,5.279451955671271e-05,2.4505313425861586e-05,4.218024724895577e-07,4.218024724895577e-07,0.0005257363817365858,1.3621718675312307e-06,1.9472437035363227e-05,0.000359090718433305
dmpnn,mse,697342,3,"[0, 1, 2]",56.666666666666664,0.8519637187321981,0.14313327769438425,0.019759682938456535,0.9095461748922512,0.001094955861945493,0.0010949558619454953,0.5821959607939945,0.0003077902040784235,0.9920048063369388,0.256064009208463,0.00013929905445199267,7.273283118334869e-05,2.913246925268734e-05,5.3175405218307434e-05,3.2891702490982602e-06,3.2891702490981264e-06,0.0012847308447025635,1.603981572004166e-07,4.2830921623610255e-05,0.00018688475852487757
gps,mse,677835,3,"[0, 1, 2]",56.666666666666664,0.8567610581715902,0.14132007459799448,0.019829293092091877,0.9110593053347391,0.0010962651101945626,0.001096265110194565,0.5654814228485537,0.00030348163720473643,0.9925094966463045,0.25521782207780347,0.00014517156607705517,6.26511123168763e-05,3.9134930964253294e-05,0.0001664850544300659,3.385445596095222e-06,3.385445596095161e-06,0.0007636858301090802,1.348535756551768e-06,2.030855666949606e-05,0.0007681068631323457
gat,mse,701427,3,"[0, 1, 2]",58.666666666666664,0.849480410416921,0.14391582210858664,0.019865447655320168,0.9078300153317708,0.001103443050556101,0.0011034430505561033,0.5892927938107496,0.00031389069643857846,0.9917615690903786,0.2587325890524448,0.00028104378759530844,0.00015412437702893675,5.914812769415762e-05,0.00032572163856083253,4.384037215269397e-06,4.384037215269385e-06,0.002323475428774233,1.0649849689923722e-06,8.796948124148128e-06,0.0009402191093973731
attentive_fp,mse,699008,3,"[0, 1, 2]",106.33333333333333,0.8507451216379801,0.14391824106375375,0.019961990416049957,0.9082708313931295,0.0011044281718404381,0.0011044281718404405,0.5889284019719842,0.0003147124772585615,0.9918683437761079,0.2604084354182148,0.003532998858824316,0.001910554037707527,0.0003190234994338772,0.0017889643468238022,2.1524252148749894e-05,2.152425214874969e-05,0.013199670720024904,8.882972201827753e-06,0.00032150776891718276,0.005407967281747622
gatv2,mse,690765,3,"[0, 1, 2]",59.0,0.8502190709114075,0.14388537406921387,0.019865266357858975,0.9080233109201595,0.001109038853082401,0.0011090388530824037,0.5884211845135587,0.0003154888477179722,0.9918445388794455,0.2598361907175117,0.00028540214327575755,0.00014927353241236355,1.9545864728515918e-05,9.632705452726216e-05,2.843700582481998e-06,2.843700582481694e-06,0.0010347404967158086,1.5054281303647347e-06,4.516632798688951e-05,0.00018158685333020637
gcn,mse,693777,3,"[0, 1, 2]",54.666666666666664,0.841751754283905,0.14740211764971414,0.020219945659240086,0.9043271597777821,0.001143197175265014,0.0011431971752650166,0.6085261880797453,0.0003296727167862304,0.9911192860142287,0.26512260392594794,0.0006669001306052757,0.00016590904127567895,3.14531095111015e-05,8.575605703530519e-05,2.2487840626823155e-06,2.248784062682013e-06,0.0016202536154382703,6.057581269518037e-07,7.706171341526504e-05,0.000784339523794683
